region,division,classification,position,status,item_status,number
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Heavy Equipment Operator I,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Legal Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Librarian I,Filled,CTI,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Librarian I,Unfilled,CTI,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Director IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Planning Officer II,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Director III,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Non-Teaching Personnel,Statistician Aide,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,1
Central Office,Central Office,Non-Teaching Personnel,Chief Health Program Officer,Filled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Dentist III,Unfilled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Computer Programmer II,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Attorney III,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Head Teacher IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,School Librarian III,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Vocational School Administrator I,Filled,CTI,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Accountant III,Unfilled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Accountant II,Unfilled,Regular,1
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Accountant I,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,School Head Personnel,School Principal IV,Unfilled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Teaching Personnel,Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Master Teacher II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Teaching Personnel,Special Science Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Special Education Teacher II,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Special Education Teacher III,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher I,Filled,CTI,1
Negros Island Region (NIR),Division of Victorias City,School Head Personnel,School Principal IV,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher III,Filled,CTI,1
Negros Island Region (NIR),Division of Victorias City,School Head Personnel,School Principal III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Senior Education Program Specialist,Unfilled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher VI,Filled,CTI,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,1
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher VII,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Aide IV,Unfilled,CTI,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Registrar I,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Head Teacher IV,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Attorney III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Dental Aide,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Dentist I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Legal Assistant I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Planning Officer II,Unfilled,CTI,1
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,1
Region XIII - CARAGA,Division of Surigao del Norte,School Head Personnel,School Principal II,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Guidance Coordinator III,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Guidance Coordinator III,Unfilled,CTI,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Guidance Counselor II,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Registrar I,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,School Librarian III,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Head Teacher II,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Security Personnel,Security Guard II,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Master Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Master Teacher II,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Special Education Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Fernando City,Teaching Personnel,Special Science Teacher I,Unfilled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Legal Assistant I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Accountant I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Dentist II,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Administrative Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Attorney III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Dentist II,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Legal Assistant I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Nurse I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,1
Region XIII - CARAGA,Division of Surigao del Norte,School Head Personnel,School Principal III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Guidance Coordinator III,Unfilled,CTI,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Registrar I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,School Librarian I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Security Personnel,Security Guard II,Filled,Regular,1
Region III - Central Luzon,Division of San Jose City,Teaching Personnel,Master Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose City,Teaching Personnel,Special Education Teacher III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Administrative Aide IV,Filled,CTI,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Administrative Aide III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Accountant I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Accountant I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Legal Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Light Equipment Operator,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Planning Officer II,Unfilled,CTI,1
Region III - Central Luzon,Division of San Jose del Monte City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Guidance Coordinator I,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Guidance Coordinator II,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Teaching Personnel,Special Education Teacher III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Teaching Personnel,Special Education Teacher II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Teaching Personnel,Special Education Teacher II,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Head Teacher VI,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Registrar I,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,School Head Personnel,School Principal IV,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Security Personnel,Security Guard II,Filled,CTI,1
Negros Island Region (NIR),Division of Tanjay City,Security Personnel,Security Guard I,Unfilled,CTI,1
Region III - Central Luzon,Division of San Jose del Monte City,Teaching Personnel,Master Teacher II,Unfilled,Regular,1
Region III - Central Luzon,Division of San Jose del Monte City,Teaching Personnel,Special Education Teacher III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Related-Teaching Personnel,Registrar I,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Related-Teaching Personnel,Guidance Services Specialist I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Accountant I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Accountant III,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Aide II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Aide III,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Aide IV,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Planning Officer II,Unfilled,CTI,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Legal Assistant I,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Dentist II,Filled,CTI,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Disbursing Officer I,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Legal Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Planning Officer II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Dentist II,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Non-Teaching Personnel,Statistician Aide,Filled,Regular,1
Central Office,Central Office,Non-Teaching Personnel,Chief Accountant,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Guidance Coordinator I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Guidance Coordinator III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Guidance Coordinator III,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Attorney III,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Head Teacher II,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Head Teacher VI,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Administrative Officer II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Registrar I,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,School Librarian I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,School Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,School Librarian III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac,School Head Personnel,School Principal IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Security Personnel,Security Guard I,Filled,CTI,1
Region III - Central Luzon,Division of Tarlac,Security Personnel,Watchman I,Unfilled,CTI,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Negros Island Region (NIR),Division of Tanjay City,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Negros Island Region (NIR),Division of Siquijor,Teaching Personnel,Special Education Teacher I,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Security Personnel,Security Guard I,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Security Personnel,Security Guard I,Filled,CTI,1
Negros Island Region (NIR),Division of Siquijor,School Head Personnel,School Principal II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,School Head Personnel,School Principal I,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Senior Education Program Specialist,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac,Teaching Personnel,Teacher VII,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Accountant III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Aide III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Aide III,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,School Librarian I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Administrative Officer III,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Legal Assistant I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Medical Officer III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Planning Officer II,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac City,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Education Program Supervisor,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Guidance Counselor III,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Head Teacher VI,Filled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Public Schools District Supervisor,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Related-Teaching Personnel,Schools Division Superintendent,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Education Program Specialist II,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Security Personnel,Security Guard I,Unfilled,CTI,1
Region III - Central Luzon,Division of Tarlac City,Teaching Personnel,Master Teacher I,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Teaching Personnel,Master Teacher II,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Teaching Personnel,Special Education Teacher III,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,1
Region III - Central Luzon,Division of Tarlac City,Teaching Personnel,Teacher I,Filled,CTI,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Project Development Officer II,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Planning Officer III,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Medical Officer III,Unfilled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Accountant II,Unfilled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Accountant III,Unfilled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Librarian II,Filled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Aide I,Unfilled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Aide III,Filled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Aide III,Unfilled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Assistant I,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Legal Assistant I,Unfilled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Assistant II,Unfilled,CTI,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Information Technology Officer I,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Farm Worker I,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Engineer III,Filled,Regular,1
Negros Island Region (NIR),Division of Siquijor,Non-Teaching Personnel,Dentist II,Unfilled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Officer III,Filled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Officer III,Unfilled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Attorney III,Filled,Regular,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Dental Aide,Filled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Dental Aide,Unfilled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Dentist II,Filled,CTI,1
Region III - Central Luzon,Division of Zambales,Non-Teaching Personnel,Disbursing Officer II,Filled,Regular,1
