region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
Region IV-A,City of Calaca,S,61,"381,522",642,323,838,0,20,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"2,400,000",15,23,2,13.9330687,120.8106088,iva_calaca
Region IV-A,City of Carmona,S,61,"18,391",634,15,577,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"2,400,000",15,-4,0,14.3130891,121.0537616,iva_carmona
Region IV-A,Dasmarinas City,M,84,"114,599",4186,45,2446,10,2,3,City,Component City,"2,400,000","3,120",1430,143,8,12000,"12,085,000",30,20,1,14.3244335,120.9621757,iva_dasmarinas
Region IV-A,General Trias City,M,84,"81,381",2206,41,1121,10,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,147,000",30,9,1,14.3746893,120.8843709,iva_generaltrias
Region IV-A,Imus City,S,61,"74,020",2605,38,1658,0,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,436,000",30,12,1,14.4375448,120.9354957,iva_imus
Region IV-A,Laguna,L,142,"208,549",8115,345,7189,33,20,4,Province,,"2,400,000","3,120",1430,143,8,12000,"30,211,000",300,92,6,14.2765249,121.419112,iva_laguna
Region IV-A,Lipa City,M,84,"75,932",2578,85,2724,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,159,000",60,47,3,13.9425195,121.157521,iva_lipa
Region IV-A,Lucena City,M,84,"51,708",1775,54,1402,10,4,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"7,867,000",60,1,0,13.9346302,121.6070061,iva_lucena
Region IV-A,Quezon,VL,196,"419,163",17352,958,15190,57,43,4,Province,,"2,400,000","3,120",1430,143,8,12000,"42,883,000",645,520,35,13.9627025,121.6543466,iva_quezon
Region IV-A,Rizal,L,142,"447,963",14837,308,9909,33,19,2,Province,,"2,400,000","3,120",1430,143,8,12000,"34,148,000",285,60,4,14.5737415,121.1475638,iva_rizal
Region IV-A,San Pablo City,M,84,"56,327",2130,81,1968,10,7,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,496,000",105,-13,-1,14.0715579,121.3229254,iva_sanpablo
Region IV-A,San Pedro City,M,84,"50,410",1794,28,1160,10,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,302,000",15,16,1,14.3641874,121.0570748,iva_sanpedro
Region IV-A,Sta. Rosa City,M,84,"62,926",2043,28,1368,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,943,000",45,-11,-1,14.3191033,121.1126258,iva_starosa
Region IV-A,Sto. Tomas City,M,84,"35,566",1049,32,903,10,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,540,000",30,3,0,13.7544563,121.0531305,iva_stotomas
